species,species_lemmatized
Bifidobacterium bifidum,bifidobacterium bifidum
Bifidobacterium bohemicum,bifidobacterium bohemicum
Bifidobacterium bombi,bifidobacterium bombi
Bifidobacterium boum,bifidobacterium boum
Bifidobacterium breve,bifidobacterium breve
Bifidobacterium callimiconis,bifidobacterium callimiconis
Bifidobacterium callitrichidarum,bifidobacterium callitrichidarum
Bifidobacterium callitrichos,bifidobacterium callitrichos
Bifidobacterium canis,bifidobacterium canis
Bifidobacterium castoris,bifidobacterium castoris
Bifidobacterium catenulatum,bifidobacterium catenulatum
Bifidobacterium catenulatum subsp. catenulatum,bifidobacterium catenulatum subsp . catenulatum
Bifidobacterium catenulatum subsp. kashiwanohense,bifidobacterium catenulatum subsp . kashiwanohense
Bifidobacterium catulorum,bifidobacterium catulorum
Bifidobacterium choerinum,bifidobacterium choerinum
Bifidobacterium commune,bifidobacterium commune
Bifidobacterium criceti,bifidobacterium criceti
Bifidobacterium cuniculi,bifidobacterium cuniculi
Bifidobacterium dentium,bifidobacterium dentium
Bifidobacterium dolichotidis,bifidobacterium dolichotidis
Bifidobacterium erythrocebi,bifidobacterium erythrocebi
Bifidobacterium eulemuris,bifidobacterium eulemuris
Bifidobacterium faecale,bifidobacterium faecale
Bifidobacterium felsineum,bifidobacterium felsineum
Bifidobacterium gallicum,bifidobacterium gallicum
Bifidobacterium gallinarum,bifidobacterium gallinarum
Bifidobacterium gallinarum subsp. saeculare,bifidobacterium gallinarum subsp . saeculare
Bifidobacterium globosum,bifidobacterium globosum
Bifidobacterium goeldii,bifidobacterium goeldii
Bifidobacterium hapali,bifidobacterium hapali
Bifidobacterium imperatoris,bifidobacterium imperatoris
Bifidobacterium indicum,bifidobacterium indicum
Bifidobacterium italicum,bifidobacterium italicum
Bifidobacterium jacchi,bifidobacterium jacchi
Bifidobacterium lemurum,bifidobacterium lemurum
Bifidobacterium longum,bifidobacterium longum
Bifidobacterium longum subsp. infantis,bifidobacterium longum subsp . infantis
Bifidobacterium longum subsp. longum,bifidobacterium longum subsp . longum
Bifidobacterium longum subsp. suillum,bifidobacterium longum subsp . suillum
Bifidobacterium longum subsp. suis,bifidobacterium longum subsp . suis
Bifidobacterium magnum,bifidobacterium magnum
Bifidobacterium margollesii,bifidobacterium margollesii
Bifidobacterium merycicum,bifidobacterium merycicum
Bifidobacterium minimum,bifidobacterium minimum
Bifidobacterium mongoliense,bifidobacterium mongoliense
Bifidobacterium moraviense,bifidobacterium moraviense
Bifidobacterium moukalabense,bifidobacterium moukalabense
Bifidobacterium myosotis,bifidobacterium myosotis
Bifidobacterium oedipodis,bifidobacterium oedipodis
Bifidobacterium olomucense,bifidobacterium olomucense
Bifidobacterium panos,bifidobacterium pano
Bifidobacterium parmae,bifidobacterium parmae
Bifidobacterium platyrrhinorum,bifidobacterium platyrrhinorum
Bifidobacterium porcinum,bifidobacterium porcinum
Bifidobacterium primatium,bifidobacterium primatium
Bifidobacterium pseudocatenulatum,bifidobacterium pseudocatenulatum
Bifidobacterium pseudolongum,bifidobacterium pseudolongum
Bifidobacterium pseudolongum subsp. pseudolongum,bifidobacterium pseudolongum subsp . pseudolongum
Bifidobacterium psychraerophilum,bifidobacterium psychraerophilum
Bifidobacterium pullorum,bifidobacterium pullorum
Bifidobacterium ramosum,bifidobacterium ramosum
Bifidobacterium reuteri,bifidobacterium reuteri
Bifidobacterium rousetti,bifidobacterium rousetti
Bifidobacterium ruminantium,bifidobacterium ruminantium
Bifidobacterium saguini,bifidobacterium saguini
Bifidobacterium saimiriisciurei,bifidobacterium saimiriisciurei
Bifidobacterium samirii,bifidobacterium samirii
Bifidobacterium scaligerum,bifidobacterium scaligerum
Bifidobacterium scardovii,bifidobacterium scardovii
Bifidobacterium simiarum,bifidobacterium simiarum
Bifidobacterium sp.,bifidobacterium sp .
Bifidobacterium stellenboschense,bifidobacterium stellenboschense
Bifidobacterium subtile,bifidobacterium subtile
Bifidobacterium thermacidophilum,bifidobacterium thermacidophilum
Bifidobacterium thermophilum,bifidobacterium thermophilum
Bifidobacterium tibiigranuli,bifidobacterium tibiigranuli
Bifidobacterium tissieri,bifidobacterium tissieri
Bifidobacterium tsurumiense,bifidobacterium tsurumiense
Bifidobacterium vansinderenii,bifidobacterium vansinderenii
Bifidobacterium vespertilionis,bifidobacterium vespertilionis
Bifidobacterium xylocopae,bifidobacterium xylocopae
Bilifractor porci,bilifractor porci
Bilophila wadsworthia,Bilophila wadsworthia
Biomaibacter acetigenes,biomaibacter acetigene
Biostraticola tofi,biostraticola tofi
Bisgaardia hudsonensis,Bisgaardia hudsonensis
Bisgaardia miroungae,Bisgaardia miroungae
Bizionia algoritergicola,Bizionia algoritergicola
Bizionia arctica,Bizionia arctica
Bizionia argentinensis,bizionia argentinensis
Bizionia berychis,bizionia berychis
Bizionia echini,bizionia echini
Bizionia fulviae,bizionia fulviae
Bizionia gelidisalsuginis,bizionia gelidisalsuginis
Bizionia hallyeonensis,bizionia hallyeonensis
Bizionia myxarmorum,bizionia myxarmorum
Bizionia paragorgiae,bizionia paragorgiae
Bizionia psychrotolerans,bizionia psychrotoleran
Bizionia saleffrena,bizionia saleffrena
Bizionia sediminis,bizionia sediminis
Bizionia sp.,bizionia sp .
Blastocatella fastidiosa,Blastocatella fastidiosa
Blastochloris gulmargensis,Blastochloris gulmargensis
Blastochloris sulfoviridis,blastochloris sulfoviridis
Blastochloris tepida,Blastochloris tepida
Blastochloris viridis,Blastochloris viridis
Blastococcus aggregatus,blastococcus aggregatus
Blastococcus atacamensis,blastococcus atacamensis
Blastococcus capsensis,blastococcus capsensis
Blastococcus colisei,blastococcus colisei
Blastococcus endophyticus,blastococcus endophyticus
Blastococcus jejuensis,blastococcus jejuensis
Blastococcus litoris,blastococcus litoris
Blastococcus saxobsidens,blastococcus saxobsidens
Blastococcus sp.,blastococcus sp .
Blastococcus xanthinilyticus,blastococcus xanthinilyticus
Blastomonas aquatica,Blastomonas aquatica
Blastomonas fulva,Blastomonas fulva
Blastomonas marina,Blastomonas marina
Blastomonas natatoria,Blastomonas natatoria
Blastomonas ursincola,Blastomonas ursincola
Blastopirellula marina,Blastopirellula marina
Blastopirellula retiformator,Blastopirellula retiformator
Blastopirellula sp.,blastopirellula sp .
Blautia argi,Blautia argi
Blautia brookingsii,Blautia brookingsii
Blautia caecimuris,Blautia caecimuris
Blautia coccoides,Blautia coccoides
Blautia faecicola,Blautia faecicola
Blautia faecis,Blautia faecis
Blautia glucerasea,blautia glucerasea
Blautia hansenii,Blautia hansenii
Blautia hominis,Blautia hominis
Blautia hydrogenotrophica,blautia hydrogenotrophica
Blautia luti,Blautia luti
Blautia massiliensis,Blautia massiliensis
Blautia obeum,Blautia obeum
Blautia producta,Blautia producta
Blautia schinkii,Blautia schinkii
Blautia sp.,Blautia sp .
Blautia stercoris,Blautia stercoris
Blautia wexlerae,Blautia wexlerae
Bogoriella caseilytica,bogoriella caseilytica
Bombella apis,Bombella apis
Bombella intestini,bombella intestini
Bombilactobacillus bombi,bombilactobacillus bombi
Bombilactobacillus mellifer,bombilactobacillus mellifer
Bombilactobacillus mellis,bombilactobacillus mellis
Bombiscardovia coagulans,Bombiscardovia coagulan
Bordetella avium,bordetella avium
Bordetella bronchialis,bordetella bronchialis
Bordetella bronchiseptica,bordetella bronchiseptica
Bordetella flabilis,bordetella flabilis
Bordetella hinzii,Bordetella hinzii
Bordetella holmesii,Bordetella holmesii
Bordetella muralis,bordetella muralis
Bordetella parapertussis,bordetella parapertussis
Bordetella pertussis,bordetella pertussis
Bordetella petrii,Bordetella petrii
Bordetella pseudohinzii,bordetella pseudohinzii
Bordetella sp.,bordetella sp .
Bordetella sputigena,bordetella sputigena
Bordetella trematum,bordetella trematum
Bordetella tumbae,bordetella tumbae
Bordetella tumulicola,bordetella tumulicola
Borrelia afzelii,Borrelia afzelii
Borrelia americana,Borrelia americana
Borrelia bissettiae,borrelia bissettiae
Borrelia burgdorferi,Borrelia burgdorferi
Borrelia californiensis,borrelia californiensis
Borrelia carolinensis,borrelia carolinensis
Borrelia garinii,Borrelia garinii
Borrelia garinii subsp. bavariensis,Borrelia garinii subsp . bavariensis
Borrelia hermsii,Borrelia hermsii
Borrelia japonica,Borrelia japonica
Borrelia kurtenbachii,Borrelia kurtenbachii
Borrelia lanei,Borrelia lanei
Borrelia lusitaniae,Borrelia lusitaniae
Borrelia mayonii,Borrelia mayonii
Borrelia sinica,Borrelia sinica
Borrelia spielmanii,Borrelia spielmanii
Borrelia turcica,Borrelia turcica
Borrelia valaisiana,Borrelia valaisiana
Borrelia yangtzensis,Borrelia yangtzensis
Bosea caraganae,Bosea caraganae
Bosea eneae,Bosea eneae
Bosea lathyri,Bosea lathyri
Bosea lupini,Bosea lupini
Bosea massiliensis,Bosea massiliensis
Bosea minatitlanensis,Bosea minatitlanensis
Bosea psychrotolerans,Bosea psychrotoleran
Bosea robiniae,Bosea robiniae
Bosea sp.,Bosea sp .
Bosea thiooxidans,Bosea thiooxidan
Bosea vestrisii,Bosea vestrisii
Boseongicola aestuarii,Boseongicola aestuarii
Botrimarina colliarenosi,Botrimarina colliarenosi
Botrimarina hoheduenensis,botrimarina hoheduenensis
Botrimarina mediterranea,Botrimarina mediterranea
Botryobacter ruber,botryobacter ruber
Boudabousia liubingyangii,Boudabousia liubingyangii
Boudabousia marimammalium,boudabousia marimammalium
Boudabousia tangfeifanii,Boudabousia tangfeifanii
Bounagaea algeriensis,Bounagaea algeriensis
Bowdeniella nasicola,Bowdeniella nasicola
Bowmanella denitrificans,Bowmanella denitrifican
Bowmanella dokdonensis,bowmanella dokdonensis
Bowmanella pacifica,Bowmanella pacifica
Brachybacterium alimentarium,brachybacterium alimentarium
Brachybacterium aquaticum,brachybacterium aquaticum
Brachybacterium avium,brachybacterium avium
Brachybacterium conglomeratum,brachybacterium conglomeratum
Brachybacterium endophyticum,brachybacterium endophyticum
Brachybacterium faecium,brachybacterium faecium
Brachybacterium fresconis,brachybacterium fresconis
Brachybacterium ginsengisoli,brachybacterium ginsengisoli
Brachybacterium hainanense,brachybacterium hainanense
Brachybacterium horti,brachybacterium horti
Brachybacterium huguangmaarense,brachybacterium huguangmaarense
Brachybacterium massiliense,brachybacterium massiliense
Brachybacterium muris,brachybacterium muris
Brachybacterium nesterenkovii,brachybacterium nesterenkovii
Brachybacterium paraconglomeratum,brachybacterium paraconglomeratum
Brachybacterium phenoliresistens,brachybacterium phenoliresisten
Brachybacterium rhamnosum,brachybacterium rhamnosum
Brachybacterium sacelli,brachybacterium sacelli
Brachybacterium saurashtrense,brachybacterium saurashtrense
Brachybacterium sp.,brachybacterium sp .
Brachybacterium squillarum,brachybacterium squillarum
Brachybacterium tyrofermentans,brachybacterium tyrofermentan
Brachybacterium vulturis,brachybacterium vulturis
Brachybacterium zhongshanense,brachybacterium zhongshanense
Brachymonas chironomi,Brachymonas chironomi
Brachymonas denitrificans,brachymona denitrifican
Brachymonas sp.,Brachymonas sp .
Brachyspira alvinipulli,Brachyspira alvinipulli
Brachyspira hyodysenteriae,Brachyspira hyodysenteriae
Brachyspira innocens,Brachyspira innocen
Brachyspira intermedia,Brachyspira intermedia
Brachyspira murdochii,Brachyspira murdochii
Brachyspira pilosicoli,Brachyspira pilosicoli
Brachyspira suanatina,Brachyspira suanatina
Brackiella oedipodis,brackiella oedipodis
Bradymonas sediminis,Bradymonas sediminis
Bradyrhizobium amphicarpaeae,bradyrhizobium amphicarpaeae
Bradyrhizobium betae,bradyrhizobium betae
Bradyrhizobium cajani,bradyrhizobium cajani
Bradyrhizobium canariense,bradyrhizobium canariense
Bradyrhizobium cytisi,bradyrhizobium cytisi
Bradyrhizobium daqingense,Bradyrhizobium daqingense
Bradyrhizobium denitrificans,bradyrhizobium denitrifican
Bradyrhizobium diazoefficiens,bradyrhizobium diazoefficiens
Bradyrhizobium elkanii,Bradyrhizobium elkanii
Bradyrhizobium frederickii,bradyrhizobium frederickii
Bradyrhizobium ganzhouense,bradyrhizobium ganzhouense
Bradyrhizobium huanghuaihaiense,Bradyrhizobium huanghuaihaiense
Bradyrhizobium japonicum,bradyrhizobium japonicum
Bradyrhizobium jicamae,bradyrhizobium jicamae
Bradyrhizobium kavangense,bradyrhizobium kavangense
Bradyrhizobium liaoningense,bradyrhizobium liaoningense
Bradyrhizobium lupini,bradyrhizobium lupini
Bradyrhizobium mercantei,Bradyrhizobium mercantei
Bradyrhizobium namibiense,bradyrhizobium namibiense
Bradyrhizobium niftali,Bradyrhizobium niftali
Bradyrhizobium nitroreducens,bradyrhizobium nitroreducens
Bradyrhizobium oligotrophicum,bradyrhizobium oligotrophicum
Bradyrhizobium pachyrhizi,Bradyrhizobium pachyrhizi
Bradyrhizobium paxllaeri,bradyrhizobium paxllaeri
Bradyrhizobium ripae,bradyrhizobium ripae
Bradyrhizobium sp.,bradyrhizobium sp .
Bradyrhizobium stylosanthis,bradyrhizobium stylosanthis
Bradyrhizobium subterraneum,Bradyrhizobium subterraneum
Bradyrhizobium uaiense,bradyrhizobium uaiense
Bradyrhizobium vignae,bradyrhizobium vignae
Bradyrhizobium yuanmingense,bradyrhizobium yuanmingense
Branchiibius cervicis,branchiibius cervicis
Branchiibius hedensis,branchiibius hedensis
Branhamella catarrhalis,Branhamella catarrhalis
Branhamella caviae,branhamella caviae
Brassicibacter mesophilus,brassicibacter mesophilus
Brassicibacter thermophilus,brassicibacter thermophilus
Bremerella cremea,Bremerella cremea
Bremerella volcania,Bremerella volcania
Brenneria alni,Brenneria alni
Brenneria corticis,brenneria corticis
Brenneria goodwinii,Brenneria goodwinii
Brenneria nigrifluens,brenneria nigrifluens
Brenneria populi,brenneria populi
Brenneria populi subsp. brevivirga,Brenneria populi subsp . brevivirga
Brenneria rubrifaciens,brenneria rubrifaciens
Brenneria salicis,brenneria salicis
Breoghania corrubedonensis,Breoghania corrubedonensis
Brevibacillus agri,brevibacillus agri
Brevibacillus aydinogluensis,brevibacillus aydinogluensis
Brevibacillus borstelensis,brevibacillus borstelensis
Brevibacillus brevis,brevibacillus brevis
Brevibacillus centrosporus,Brevibacillus centrosporus
Brevibacillus choshinensis,brevibacillus choshinensis
Brevibacillus fluminis,brevibacillus fluminis
Brevibacillus formosus,brevibacillus formosus
Brevibacillus fortis,brevibacillus fortis
Brevibacillus fulvus,brevibacillus fulvus
Brevibacillus gelatini,brevibacillus gelatini
Brevibacillus ginsengisoli,brevibacillus ginsengisoli
Brevibacillus halotolerans,brevibacillus halotoleran
Brevibacillus invocatus,brevibacillus invocatus
Brevibacillus laterosporus,brevibacillus laterosporus
Brevibacillus levickii,brevibacillus levickii
Brevibacillus limnophilus,brevibacillus limnophilus
Brevibacillus massiliensis,brevibacillus massiliensis
Brevibacillus migulae,brevibacillus migulae
Brevibacillus nitrificans,brevibacillus nitrifican
Brevibacillus panacihumi,brevibacillus panacihumi
Brevibacillus parabrevis,brevibacillus parabrevis
Brevibacillus reuszeri,brevibacillus reuszeri
Brevibacillus sediminis,brevibacillus sediminis
Brevibacillus sp.,brevibacillus sp .
Brevibacillus thermoruber,brevibacillus thermoruber
Brevibacterium album,brevibacterium album
Brevibacterium ammoniilyticum,brevibacterium ammoniilyticum
Brevibacterium antiquum,brevibacterium antiquum
Brevibacterium aurantiacum,brevibacterium aurantiacum
Brevibacterium aureum,brevibacterium aureum
Brevibacterium avium,brevibacterium avium
Brevibacterium casei,brevibacterium casei
Brevibacterium celere,brevibacterium celere
Brevibacterium daeguense,brevibacterium daeguense
Brevibacterium epidermidis,brevibacterium epidermidis
Brevibacterium frigoritolerans,brevibacterium frigoritolerans
Brevibacterium hankyongi,brevibacterium hankyongi
Brevibacterium iodinum,brevibacterium iodinum
Brevibacterium jeotgali,brevibacterium jeotgali
Brevibacterium linens,brevibacterium linen
Brevibacterium luteolum,brevibacterium luteolum
Brevibacterium marinum,brevibacterium marinum
Brevibacterium mcbrellneri,brevibacterium mcbrellneri
Brevibacterium metallicus,brevibacterium metallicus
Brevibacterium oceani,brevibacterium oceani
Brevibacterium otitidis,brevibacterium otitidis
Brevibacterium paucivorans,brevibacterium paucivorans
Brevibacterium permense,brevibacterium permense
Brevibacterium picturae,brevibacterium picturae
Brevibacterium pityocampae,brevibacterium pityocampae
Brevibacterium profundi,brevibacterium profundi
Brevibacterium ravenspurgense,brevibacterium ravenspurgense
Brevibacterium salitolerans,brevibacterium salitolerans
Brevibacterium samyangense,brevibacterium samyangense
Brevibacterium sandarakinum,brevibacterium sandarakinum
Brevibacterium sanguinis,brevibacterium sanguinis
Brevibacterium sediminis,brevibacterium sediminis
Brevibacterium senegalense,brevibacterium senegalense
Brevibacterium siliguriense,brevibacterium siliguriense
Brevibacterium sp.,brevibacterium sp .
Brevibacterium yomogidense,brevibacterium yomogidense
